,Dataset,Input Size,Type,Classifier,Formated Results,Area Under Curve
11,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.8629 (0.8167, 0.9500)",0.925
12,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),GMM,"0.8352 (0.7333, 1.0000)",0.5
13,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.8298 (0.8400, 0.8933)",0.977777777777778
14,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.8232 (0.7533, 0.9500)",0.8405555555555555
15,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),KNeighborsClassifier,"0.8170 (0.7000, 1.0000)",0.5
16,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),HBOS,"0.4841 (0.4167, 0.5833)",0.2916666666666666
17,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
18,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),COPOD,"0.0000 (0.0000, 0.0000)",0.41
19,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
20,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),GMM,"0.8085 (0.7000, 1.0000)",0.5
21,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.7814 (0.7033, 0.9000)",0.8777777777777779
22,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.7811 (0.6467, 1.0000)",0.5472222222222223
23,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.7695 (0.7000, 0.8667)",0.8388888888888889
24,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),KNeighborsClassifier,"0.7685 (0.6333, 1.0000)",0.5
25,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),HBOS,"0.4267 (0.3533, 0.5500)",0.275
26,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
27,Task 2 (25% Noise),4096,Vanilla AE (0.25 Masked),COPOD,"0.0000 (0.0000, 0.0000)",0.3666666666666666
28,Task 2 (25% Noise),4096,Vanilla AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
29,Task 2 (25% Noise),4096,Vanilla AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
30,Task 2 (25% Noise),4096,Vanilla AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0
31,Task 2 (25% Noise),4096,Vanilla AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0
32,Task 2 (25% Noise),4096,Vanilla AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
33,Task 2 (25% Noise),4096,Vanilla AE,RandomForestClassifier,"1.0000 (1.0000, 1.0000)",1.0
34,Task 2 (25% Noise),4096,Vanilla AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
35,Task 2 (25% Noise),4096,Vanilla AE,COPOD,"0.9714 (0.9500, 1.0000)",0.9583333333333334
36,Task 2 (25% Noise),4096,Vanilla AE,GMM,"0.8436 (0.7333, 1.0000)",0.5
37,Task 2 (25% Noise),4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
