Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.00,0.25,0.05555555555555555,0.0909090909090909,,0.5,0.1111111111111111,0.1818181818181818,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0909 (0.2500, 0.0556)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.20,0.35,0.030222222222222223,0.0540942928039702,,0.48733971724044817,0.048422013155430564,0.08477495995467649,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.0541 (0.3500, 0.0302)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.40,0.25,0.027777777777777776,0.049999999999999975,,0.5,0.05555555555555555,0.09999999999999995,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0500 (0.2500, 0.0278)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.60,0.25,0.027777777777777776,0.049999999999999975,,0.5,0.05555555555555555,0.09999999999999995,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0500 (0.2500, 0.0278)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.80,0.25,0.027777777777777776,0.049999999999999975,,0.5,0.05555555555555555,0.09999999999999995,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0500 (0.2500, 0.0278)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.00,0.25,0.0185185185185185,0.03448275862068965,,0.5,0.037037037037037,0.0689655172413793,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0345 (0.2500, 0.0185)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.20,0.25,0.0185185185185185,0.03448275862068965,,0.5,0.037037037037037,0.0689655172413793,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0345 (0.2500, 0.0185)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.40,0.25,0.0185185185185185,0.03448275862068965,,0.5,0.037037037037037,0.0689655172413793,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0345 (0.2500, 0.0185)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.60,0.25,0.0185185185185185,0.03448275862068965,,0.5,0.037037037037037,0.0689655172413793,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0345 (0.2500, 0.0185)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.80,0.25,0.00925925925925925,0.01785714285714285,,0.5,0.0185185185185185,0.0357142857142857,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0179 (0.2500, 0.0093)"
